N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God,Address,Longitude,Latitude,CenterDistance,Station,StationDistance,LnCenterDistance,LnStationDistance
1,Московский,40000,10.59663473,1333,1,30,3.401197382,12,2.48490665,7,1.945910149,0,0,1986,"Космонавтов, 23/43",27.460169,53.850895,8774,Кунцевщина,6137,9.07954808172616,8.722091302389098
2,Фрунзенский,37700,10.53741537,1257,1,30,3.401197382,12,2.48490665,7,1.945910149,0,0,1980,"Лещинского, 17",27.451168,53.909981,7298,Кунцевщина,485,8.895355616996392,6.184148890937483
3,Фрунзенский,37000,10.51867319,1762,1,21,3.044522438,12,2.48490665,5,1.609437912,1,1,1971,"Чигладзе, 6/2",27.500862,53.925916,4780,Пушкинская,1847,8.472195825485501,7.52131798019924
4,Фрунзенский,41000,10.62132735,1464,1,28,3.33220451,13,2.564949357,8,2.079441542,0,0,1978,"Дунина-Марцинкевича, 4/2",27.487603,53.905955,4879,Спортивная,519,8.492695559815838,6.251903883165888
5,Партизанский,59500,10.99373159,1750,1,34,3.526360525,14,2.63905733,6,1.791759469,0,1,1956,"пер. Броневой, 13",27.580812,53.90578,1300,Площадь Победы,531,7.170119543449628,6.274762021241939
6,Московский,50000,10.81977828,1316,1,38,3.63758616,16,2.772588722,6,1.791759469,0,1,1997,"Рафиева, 70",27.440882,53.86295,9050,Каменная Горка,4856,9.110520036693972,8.487970332739334
7,Фрунзенский,57000,10.95080655,1462,1,39,3.663561646,16,2.772588722,8.4,2.128231706,0,0,2001,"Тимошенко, 10",27.462181,53.90492,6533,Кунцевщина,534,8.78462153484075,6.280395838960195
8,Центральный,55000,10.91508846,2099,1,26.2,3.265759411,16.2,2.785011242,5.8,1.757857918,1,1,2008,"Чичерина, 12",27.564553,53.9132,1227,Площадь Победы,826,7.112327444710911,6.716594773520978
9,Московский,40000,10.59663473,1274,1,31.4,3.446807893,16.3,2.791165108,8,2.079441542,0,1,1968,Р.Люксембург,27.514903,53.890627,3337,Институт Культуры,1743,8.112827478751374,7.463363045520021
10,Заводской,42000,10.6454249,1243,1,33.8,3.520460802,16.8,2.821378886,7.2,1.974081026,0,0,1990,"Грибной пер.,28/1",27.672989,53.883744,7562,Автозаводская,2318,8.930890984450878,7.748460023899697
11,Заводской,42000,10.6454249,1243,1,33.8,3.520460802,16.8,2.821378886,7.2,1.974081026,0,0,1990,"пер. Грибной, 28/1",27.672989,53.883744,7562,Автозаводская,2318,8.930890984450878,7.748460023899697
12,Советский,42000,10.6454249,1250,1,33.6,3.514526067,16.9,2.827313622,6.7,1.902107526,1,0,1968,"Кольцова, 18/1",27.606477,53.953387,6386,Московская,3129,8.761863373274727,8.048468743668883
13,Заводской,40000,10.59663473,1212,1,33,3.496507561,17,2.833213344,7.2,1.974081026,0,0,1974,"Герасименко, 41",27.680211,53.881467,8087,Могилёвская,2223,8.998013113095823,7.706612913964197
14,Заводской,52000,10.858999,1585,1,32.8,3.490428515,17,2.833213344,7.1,1.960094784,0,0,1975,"Плеханова, 121",27.595536,53.858952,5295,Партизанская,2883,8.574518258035507,7.9665866976384025
15,Заводской,43000,10.66895539,1303,1,33,3.496507561,17,2.833213344,7,1.945910149,0,0,1989,"Байкальская, 5",27.67324,53.874153,7935,Могилёвская,1374,8.97903863296051,7.2254814727822945
16,Заводской,48000,10.77895629,1455,1,33,3.496507561,17,2.833213344,7.1,1.960094784,0,0,1982,"Алтайская, 102/3",27.67245,53.872008,7985,Могилёвская,1139,8.985320060649112,7.037905963447182
17,Ленинский,40000,10.59663473,1176,1,34,3.526360525,17,2.833213344,17.2,2.844909384,0,0,1980,"Якубова, 30",27.597898,53.854268,5834,Партизанская,3133,8.671458150427666,8.049746290952191
18,Ленинский,52000,10.858999,1529,1,34,3.526360525,17,2.833213344,7,1.945910149,0,0,1973,"пр-т Рокоссовского, 83",27.609181,53.861325,5506,Партизанская,2055,8.613593685702552,7.628031126930335
19,Ленинский,43000,10.66895539,1303,1,33,3.496507561,17,2.833213344,7,1.945910149,0,0,1976,"пр-т Рокоссовского, 49",27.60239,53.867766,4664,Партизанская,1974,8.447628728030327,7.587817219993427
20,Ленинский,52000,10.858999,1529,1,34,3.526360525,17,2.833213344,7,1.945910149,0,0,1973,"пр-т Рокоссовского, 83",27.609181,53.861325,5506,Партизанская,2055,8.613593685702552,7.628031126930335
21,Московский,48000,10.77895629,1297,1,37,3.610917913,17,2.833213344,7,1.945910149,0,0,1998,"Слободская, 55",27.438582,53.855622,9597,Каменная Горка,5666,9.169205828617628,8.642238680390461
22,Московский,46500,10.74720759,1409,1,33,3.496507561,17,2.833213344,7.2,1.974081026,0,0,1998,"Слободская, 91",27.443918,53.848266,9784,Кунцевщина,6452,9.188503677367008,8.772145439245099
23,Октябрьский,43900,10.6896696,1318,1,33.3,3.505557397,17,2.833213344,7.6,2.028148247,1,0,1973,"Воронянского, 52",27.556351,53.876191,2921,Институт Культуры,1516,7.979681302387741,7.323830566202317
24,Партизанский,40000,10.59663473,1290,1,31,3.433987204,17,2.833213344,7,1.945910149,1,1,1971,"Запорожская, 28",27.627606,53.909312,4374,Парк Челюскинцев,1915,8.383433201236713,7.557472901614746
25,Первомайский,56000,10.93310697,1514,1,37,3.610917913,17,2.833213344,6,1.791759469,0,1,1970,"Платонова, 35/2",27.593622,53.910405,2266,Площадь Якуба Коласа,891,7.725771441587952,6.792344427470809
26,Первомайский,49000,10.79957558,1633,1,30,3.401197382,17,2.833213344,6,1.791759469,1,0,1970,"Толбухина, 5/а",27.611849,53.926043,4204,Парк Челюскинцев,213,8.343791731996841,5.3612921657094255
27,Первомайский,49000,10.79957558,1531,1,32,3.465735903,17,2.833213344,7,1.945910149,0,0,1970,"Волгоградсая, 57/а",27.60928,53.936396,4899,Парк Челюскинцев,1369,8.496786381638575,7.221835825288449
28,Первомайский,65000,11.08214255,1970,1,33,3.496507561,17,2.833213344,7,1.945910149,0,0,1973,"пл. Независимости, 157",27.547242,53.895509,1218,Площадь Ленина,228,7.1049654482698426,5.429345628954441
30,Советский,57000,10.95080655,1839,1,31,3.433987204,17,2.833213344,7,1.945910149,0,1,1973,"М.Богдановича, 143",27.570347,53.925375,2626,Площадь Якуба Коласа,1369,7.873217054862741,7.221835825288449
31,Советский,45000,10.71441777,1406,1,32,3.465735903,17,2.833213344,6,1.791759469,1,1,1967,"М.Богдановича, 133",27.568533,53.923371,2385,Площадь Якуба Коласа,1295,7.776954403322442,7.166265974133638
32,Фрунзенский,36000,10.49127422,1200,1,30,3.401197382,17,2.833213344,5,1.609437912,1,1,1968,"Харьковская,86",27.501087,53.89623,4036,Пушкинская,1488,8.3030093814735,7.305188215393037
33,Фрунзенский,42000,10.6454249,1200,1,35,3.555348061,17,2.833213344,8,2.079441542,1,0,1974,"Я.Марвра, 5",27.490334,53.903652,4686,Пушкинская,786,8.452334619067742,6.666956792429207
34,Фрунзенский,48000,10.77895629,1455,1,33,3.496507561,17,2.833213344,7.2,1.974081026,1,0,1998,"М.Горецкого, 67",27.438942,53.889752,8169,Каменная Горка,1875,9.00810178134187,7.536363938404511
35,Фрунзенский,55000,10.91508846,1410,1,39,3.663561646,17,2.833213344,9,2.197224577,0,0,2000,"Фёдорова, 9",27.424595,53.883893,9219,Каменная Горка,2659,9.129021850798594,7.88570539124302
36,Фрунзенский,36000,10.49127422,1200,1,30,3.401197382,17,2.833213344,5,1.609437912,1,1,1968,"Харьковская, 86",27.501087,53.89623,4036,Пушкинская,1488,8.3030093814735,7.305188215393037
37,Фрунзенский,42000,10.6454249,1200,1,35,3.555348061,17,2.833213344,8,2.079441542,1,0,1974,"Я.Мавра, 5",27.490334,53.903652,4686,Пушкинская,786,8.452334619067742,6.666956792429207
38,Фрунзенский,64000,11.06663836,1561,1,41,3.713572067,17,2.833213344,9.5,2.251291799,0,0,2005,"Притыцкого, 47",27.478072,53.905774,5500,Спортивная,333,8.612503371220562,5.808142489980444
39,Центральный,47000,10.75790288,1382,1,34,3.526360525,17,2.833213344,7.2,1.974081026,0,0,1984,"Червякова, 2/2",27.553701,53.920911,2139,Немига,1687,7.668093709082406,7.430707082545968
40,Центральный,50000,10.81977828,1562,1,32,3.465735903,17,2.833213344,7,1.945910149,0,1,1968,"Тарханова, 9/а",27.529231,53.917448,2722,Молодёжная,1268,7.909122183211411,7.145196134997171
41,Центральный,53000,10.87804719,1828,1,29,3.36729583,17,2.833213344,6,1.791759469,0,1,1961,"Осипенко, 26",27.554941,53.925831,2657,Площадь Якуба Коласа,2184,7.884952945759814,7.688913336864796
42,Центральный,70000,11.15625052,2121,1,33,3.496507561,17,2.833213344,7.2,1.974081026,0,0,1986,"Заславская, 18/2",27.535996,53.911455,1977,Фрунзенская,706,7.589335823170617,6.559615237493242
44,Первомайский,40000,10.59663473,1201,1,33.3,3.505557397,17.1,2.839078464,6.1,1.808288771,1,0,1967,"Калиновского, 107",27.641862,53.944696,7044,Восток,1274,8.859931469616097,7.149916836132109
45,Фрунзенский,63000,11.05089001,1575,1,40,3.688879454,17.1,2.839078464,9.5,2.251291799,0,0,2004,"Одинцова, 3/2",27.459549,53.898427,6713,Кунцевщина,912,8.811801223938751,6.815639990074331
47,Партизанский,45000,10.71441777,1376,1,32.7,3.487375078,17.2,2.844909384,6.2,1.824549292,1,0,1970,"Щербакова, 4/2",27.609262,53.883707,3727,Тракторный завод,787,8.223358899479258,6.668228248417403
48,Московский,41000,10.62132735,1362,1,30.1,3.404525172,17.6,2.867898902,6,1.791759469,1,0,1962,"Лермонтова, 49",27.512325,53.894697,3352,Молодёжная,1508,8.117312461601975,7.318539548567902
49,Октябрьский,45000,10.71441777,1216,1,37,3.610917913,17.6,2.867898902,8.1,2.091864062,0,0,1982,"Асаналиева, 2",27.555004,53.852542,5545,Институт Культуры,3846,8.620651899784468,8.254788926148725
50,Октябрьский,45000,10.71441777,1216,1,37,3.610917913,17.6,2.867898902,8.1,2.091864062,0,0,1982,"Асаналиева, 2",27.555004,53.852542,5545,Институт Культуры,3846,8.620651899784468,8.254788926148725
51,Московский,55000,10.91508846,1421,1,38.7,3.6558396,17.9,2.884800713,8.6,2.151762203,0,0,1998,"пр-т Газ-ты Правда, 46",27.474335,53.861771,7289,Кунцевщина,5089,8.894121641382213,8.534836626588833
52,Фрунзенский,55000,10.91508846,1279,1,43,3.761200116,17.9,2.884800713,9.1,2.208274414,0,0,1997,"Лынькова, 15/а",27.488888,53.927257,5525,Пушкинская,2055,8.617038526385954,7.628031126930335
53,Заводской,60000,11.00209984,1333,1,45,3.80666249,18,2.890371758,10.4,2.341805806,0,1,2008,"Крупской, 23",27.623806,53.859488,6250,Партизанская,1804,8.740336742730447,7.4977617006225685
54,Заводской,41000,10.62132735,1206,1,34,3.526360525,18,2.890371758,7,1.945910149,0,1,1970,"Варвашени, 8/1",27.673258,53.865685,8352,Могилёвская,435,9.03025631012242,6.075346031088684
55,Заводской,39000,10.57131693,1219,1,32,3.465735903,18,2.890371758,6.2,1.824549292,1,0,1970,"Байкальская, 64",27.683418,53.865011,8974,Могилёвская,714,9.102086786535928,6.570882962339584
56,Заводской,58000,10.96819829,1289,1,45,3.80666249,18,2.890371758,9,2.197224577,0,0,2010,"Одесская, 6",27.654798,53.869093,7116,Автозаводская,439,8.870101048785726,6.0844994130751715
