N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God
1,Московский,40000,10.59663473,1333,1,30,3.401197382,12,2.48490665,7,1.945910149,0,0,1986
2,Фрунзенский,37700,10.53741537,1257,1,30,3.401197382,12,2.48490665,7,1.945910149,0,0,1980
3,Фрунзенский,37000,10.51867319,1762,1,21,3.044522438,12,2.48490665,5,1.609437912,1,1,1971
4,Фрунзенский,41000,10.62132735,1464,1,28,3.33220451,13,2.564949357,8,2.079441542,0,0,1978
5,Партизанский,59500,10.99373159,1750,1,34,3.526360525,14,2.63905733,6,1.791759469,0,1,1956
6,Московский,50000,10.81977828,1316,1,38,3.63758616,16,2.772588722,6,1.791759469,0,1,1997
7,Фрунзенский,57000,10.95080655,1462,1,39,3.663561646,16,2.772588722,8.4,2.128231706,0,0,2001
8,Центральный,55000,10.91508846,2099,1,26.2,3.265759411,16.2,2.785011242,5.8,1.757857918,1,1,2008
9,Московский,40000,10.59663473,1274,1,31.4,3.446807893,16.3,2.791165108,8,2.079441542,0,1,1968
10,Заводской,42000,10.6454249,1243,1,33.8,3.520460802,16.8,2.821378886,7.2,1.974081026,0,0,1990
11,Заводской,42000,10.6454249,1243,1,33.8,3.520460802,16.8,2.821378886,7.2,1.974081026,0,0,1990
12,Советский,42000,10.6454249,1250,1,33.6,3.514526067,16.9,2.827313622,6.7,1.902107526,1,0,1968
13,Заводской,40000,10.59663473,1212,1,33,3.496507561,17,2.833213344,7.2,1.974081026,0,0,1974
14,Заводской,52000,10.858999,1585,1,32.8,3.490428515,17,2.833213344,7.1,1.960094784,0,0,1975
15,Заводской,43000,10.66895539,1303,1,33,3.496507561,17,2.833213344,7,1.945910149,0,0,1989
16,Заводской,48000,10.77895629,1455,1,33,3.496507561,17,2.833213344,7.1,1.960094784,0,0,1982
17,Ленинский,40000,10.59663473,1176,1,34,3.526360525,17,2.833213344,17.2,2.844909384,0,0,1980
18,Ленинский,52000,10.858999,1529,1,34,3.526360525,17,2.833213344,7,1.945910149,0,0,1973
19,Ленинский,43000,10.66895539,1303,1,33,3.496507561,17,2.833213344,7,1.945910149,0,0,1976
20,Ленинский,52000,10.858999,1529,1,34,3.526360525,17,2.833213344,7,1.945910149,0,0,1973
21,Московский,48000,10.77895629,1297,1,37,3.610917913,17,2.833213344,7,1.945910149,0,0,1998
22,Московский,46500,10.74720759,1409,1,33,3.496507561,17,2.833213344,7.2,1.974081026,0,0,1998
23,Октябрьский,43900,10.6896696,1318,1,33.3,3.505557397,17,2.833213344,7.6,2.028148247,1,0,1973
24,Партизанский,40000,10.59663473,1290,1,31,3.433987204,17,2.833213344,7,1.945910149,1,1,1971
25,Первомайский,56000,10.93310697,1514,1,37,3.610917913,17,2.833213344,6,1.791759469,0,1,1970
26,Первомайский,49000,10.79957558,1633,1,30,3.401197382,17,2.833213344,6,1.791759469,1,0,1970
27,Первомайский,49000,10.79957558,1531,1,32,3.465735903,17,2.833213344,7,1.945910149,0,0,1970
28,Первомайский,65000,11.08214255,1970,1,33,3.496507561,17,2.833213344,7,1.945910149,0,0,1973
30,Советский,57000,10.95080655,1839,1,31,3.433987204,17,2.833213344,7,1.945910149,0,1,1973
31,Советский,45000,10.71441777,1406,1,32,3.465735903,17,2.833213344,6,1.791759469,1,1,1967
32,Фрунзенский,36000,10.49127422,1200,1,30,3.401197382,17,2.833213344,5,1.609437912,1,1,1968
33,Фрунзенский,42000,10.6454249,1200,1,35,3.555348061,17,2.833213344,8,2.079441542,1,0,1974
34,Фрунзенский,48000,10.77895629,1455,1,33,3.496507561,17,2.833213344,7.2,1.974081026,1,0,1998
35,Фрунзенский,55000,10.91508846,1410,1,39,3.663561646,17,2.833213344,9,2.197224577,0,0,2000
36,Фрунзенский,36000,10.49127422,1200,1,30,3.401197382,17,2.833213344,5,1.609437912,1,1,1968
37,Фрунзенский,42000,10.6454249,1200,1,35,3.555348061,17,2.833213344,8,2.079441542,1,0,1974
38,Фрунзенский,64000,11.06663836,1561,1,41,3.713572067,17,2.833213344,9.5,2.251291799,0,0,2005
39,Центральный,47000,10.75790288,1382,1,34,3.526360525,17,2.833213344,7.2,1.974081026,0,0,1984
40,Центральный,50000,10.81977828,1562,1,32,3.465735903,17,2.833213344,7,1.945910149,0,1,1968
41,Центральный,53000,10.87804719,1828,1,29,3.36729583,17,2.833213344,6,1.791759469,0,1,1961
42,Центральный,70000,11.15625052,2121,1,33,3.496507561,17,2.833213344,7.2,1.974081026,0,0,1986
44,Первомайский,40000,10.59663473,1201,1,33.3,3.505557397,17.1,2.839078464,6.1,1.808288771,1,0,1967
45,Фрунзенский,63000,11.05089001,1575,1,40,3.688879454,17.1,2.839078464,9.5,2.251291799,0,0,2004
47,Партизанский,45000,10.71441777,1376,1,32.7,3.487375078,17.2,2.844909384,6.2,1.824549292,1,0,1970
48,Московский,41000,10.62132735,1362,1,30.1,3.404525172,17.6,2.867898902,6,1.791759469,1,0,1962
49,Октябрьский,45000,10.71441777,1216,1,37,3.610917913,17.6,2.867898902,8.1,2.091864062,0,0,1982
50,Октябрьский,45000,10.71441777,1216,1,37,3.610917913,17.6,2.867898902,8.1,2.091864062,0,0,1982
