id,Address,Longitude,Latitude,CenterDistance,Station,StationDistance
1,"Космонавтов, 23/43",27.460169,53.850895,8774,Кунцевщина,6137
2,"Лещинского, 17",27.451168,53.909981,7298,Кунцевщина,485
3,"Чигладзе, 6/2",27.500862,53.925916,4780,Пушкинская,1847
4,"Дунина-Марцинкевича, 4/2",27.487603,53.905955,4879,Спортивная,519
5,"пер. Броневой, 13",27.580812,53.90578,1300,Площадь Победы,531
6,"Рафиева, 70",27.440882,53.86295,9050,Каменная Горка,4856
7,"Тимошенко, 10",27.462181,53.90492,6533,Кунцевщина,534
8,"Чичерина, 12",27.564553,53.9132,1227,Площадь Победы,826
9,Р.Люксембург,27.514903,53.890627,3337,Институт Культуры,1743
10,"Грибной пер.,28/1",27.672989,53.883744,7562,Автозаводская,2318
11,"пер. Грибной, 28/1",27.672989,53.883744,7562,Автозаводская,2318
12,"Кольцова, 18/1",27.606477,53.953387,6386,Московская,3129
13,"Герасименко, 41",27.680211,53.881467,8087,Могилёвская,2223
14,"Плеханова, 121",27.595536,53.858952,5295,Партизанская,2883
15,"Байкальская, 5",27.67324,53.874153,7935,Могилёвская,1374
16,"Алтайская, 102/3",27.67245,53.872008,7985,Могилёвская,1139
17,"Якубова, 30",27.597898,53.854268,5834,Партизанская,3133
18,"пр-т Рокоссовского, 83",27.609181,53.861325,5506,Партизанская,2055
19,"пр-т Рокоссовского, 49",27.60239,53.867766,4664,Партизанская,1974
20,"пр-т Рокоссовского, 83",27.609181,53.861325,5506,Партизанская,2055
21,"Слободская, 55",27.438582,53.855622,9597,Каменная Горка,5666
22,"Слободская, 91",27.443918,53.848266,9784,Кунцевщина,6452
23,"Воронянского, 52",27.556351,53.876191,2921,Институт Культуры,1516
24,"Запорожская, 28",27.627606,53.909312,4374,Парк Челюскинцев,1915
25,"Платонова, 35/2",27.593622,53.910405,2266,Площадь Якуба Коласа,891
26,"Толбухина, 5/а",27.611849,53.926043,4204,Парк Челюскинцев,213
27,"Волгоградсая, 57/а",27.60928,53.936396,4899,Парк Челюскинцев,1369
28,"пл. Независимости, 157",27.547242,53.895509,1218,Площадь Ленина,228
29,Калиновского,27.635861,53.944378,6733,Восток,1474
30,"М.Богдановича, 143",27.570347,53.925375,2626,Площадь Якуба Коласа,1369
31,"М.Богдановича, 133",27.568533,53.923371,2385,Площадь Якуба Коласа,1295
32,"Харьковская,86",27.501087,53.89623,4036,Пушкинская,1488
33,"Я.Марвра, 5",27.490334,53.903652,4686,Пушкинская,786
34,"М.Горецкого, 67",27.438942,53.889752,8169,Каменная Горка,1875
35,"Фёдорова, 9",27.424595,53.883893,9219,Каменная Горка,2659
36,"Харьковская, 86",27.501087,53.89623,4036,Пушкинская,1488
37,"Я.Мавра, 5",27.490334,53.903652,4686,Пушкинская,786
38,"Притыцкого, 47",27.478072,53.905774,5500,Спортивная,333
39,"Червякова, 2/2",27.553701,53.920911,2139,Немига,1687
40,"Тарханова, 9/а",27.529231,53.917448,2722,Молодёжная,1268
41,"Осипенко, 26",27.554941,53.925831,2657,Площадь Якуба Коласа,2184
42,"Заславская, 18/2",27.535996,53.911455,1977,Фрунзенская,706
43,"пр-т Независимости, 87",27.605283,53.922973,3656,Академия наук,421
44,"Калиновского, 107",27.641862,53.944696,7044,Восток,1274
45,"Одинцова, 3/2",27.459549,53.898427,6713,Кунцевщина,912
46,"Гурского, 33",27.492158,53.879493,5220,Институт Культуры,3240
47,"Щербакова, 4/2",27.609262,53.883707,3727,Тракторный завод,787
48,"Лермонтова, 49",27.512325,53.894697,3352,Молодёжная,1508
49,"Асаналиева, 2",27.555004,53.852542,5545,Институт Культуры,3846
50,"Асаналиева, 2",27.555004,53.852542,5545,Институт Культуры,3846
51,"пр-т Газ-ты Правда, 46",27.474335,53.861771,7289,Кунцевщина,5089
52,"Лынькова, 15/а",27.488888,53.927257,5525,Пушкинская,2055
53,"Крупской, 23",27.623806,53.859488,6250,Партизанская,1804
54,"Варвашени, 8/1",27.673258,53.865685,8352,Могилёвская,435
55,"Байкальская, 64",27.683418,53.865011,8974,Могилёвская,714
56,"Одесская, 6",27.654798,53.869093,7116,Автозаводская,439
57,"Я.Лучины, 8",27.568371,53.838379,7113,Институт Культуры,5607
58,"Малинина, 8",27.620904,53.85585,6447,Партизанская,2241
59,"Малинина, 8",27.620904,53.85585,6447,Партизанская,2241
60,"Плеханова, 58/3",27.593065,53.864049,4714,Партизанская,2705
61,"Волоха, 53",27.509504,53.89423,3543,Молодёжная,1650
62,"Пуховичская, 18",27.549964,53.8497,5894,Институт Культуры,4089
63,"пл. Независимости, 155/1",27.547242,53.895509,1218,Площадь Ленина,228
64,"Филимонова, 14",27.63534,53.910808,4902,Московская,1988
65,"Матусевича, 32",27.475233,53.916732,5894,Спортивная,1003
66,"Д.Сердича, 74",27.489364,53.920937,5179,Пушкинская,1379
67,"Одоевского, 109",27.483552,53.901164,5129,Спортивная,815
68,"Шаранговича, 59-2",27.43516,53.879896,8663,Каменная Горка,2971
69,"Карастояновой, 25",27.564526,53.936073,3760,Площадь Якуба Коласа,2568
70,"Орловская, 31",27.553072,53.931949,3347,Площадь Якуба Коласа,2684
71,"Каростояновой, 25",27.564526,53.936073,3760,Площадь Якуба Коласа,2568
72,"Филимонова, 8",27.633256,53.90867,4727,Парк Челюскинцев,2178
73,"пр-т Независимости, 155/1",27.650863,53.935124,6874,Восток,60
74,"Филимонова, 55/3",27.638332,53.925248,5618,Московская,778
75,"Натуралистов, 5",27.616413,53.928842,4632,Парк Челюскинцев,549
76,"Карбышева, 38",27.639176,53.949752,7309,Восток,1855
77,"Уборевича, 38",27.643856,53.843081,8492,Могилёвская,2868
78,"пр-т Рокоссовского, 112",27.606585,53.856764,5844,Партизанская,2559
79,"Маяковского, 103",27.573931,53.864644,4256,Пролетарская,2981
80,"Кальварийская, 2",27.540182,53.905748,1471,Фрунзенская,68
81,"Кольцова, 12/2",27.609918,53.953212,6475,Московская,3019
82,"пр-т Машерова, 18",27.573294,53.915756,1674,Площадь Якуба Коласа,685
83,"Гая, 13",27.560726,53.926769,2723,Площадь Якуба Коласа,1930
84,"Я.Коласа, 4",27.585735,53.9181,2352,Площадь Якуба Коласа,274
85,"М.Богдановича, 52",27.566206,53.918827,1861,Площадь Якуба Коласа,1193
86,"Брилевская, 3",27.532789,53.87695,3398,Институт Культуры,1126
87,"пер.Броневой, 6",27.579842,53.904841,1211,Площадь Победы,576
88,"Харьковская, 58",27.513493,53.900326,3175,Молодёжная,956
89,"Гаруна, 24",27.446209,53.922994,7913,Каменная Горка,1910
90,"Куприянова, 17",27.519431,53.898464,2811,Молодёжная,937
91,"Алибегова, 16",27.480668,53.872815,6245,Спортивная,3945
92,"Корженевского, 1-1",27.497107,53.848122,7363,Институт Культуры,5079
93,"Почтовая, 1",27.710646,53.945788,10870,Уручье,1503
94,"Я.Коласа, 63",27.602192,53.934811,4476,Парк Челюскинцев,1371
95,"Лобанка, 81",27.431099,53.887199,8726,Каменная Горка,2195
96,"Ломоносова, 10",27.596228,53.932378,4031,Академия наук,1157
97,"Герасименко, 29",27.682762,53.882555,8214,Могилёвская,2377
98,"Кольцова, 38",27.601267,53.953418,6241,Московская,3296
99,"Голодеда, 1",27.650917,53.841562,8919,Могилёвская,2710
100,"пр-т Рокоссовского, 53",27.603782,53.86741,4748,Партизанская,1910
101,"Калиновского, 83",27.637676,53.944808,6852,Восток,1434
102,"Чорного, 10/а",27.602659,53.925417,3707,Академия наук,439
103,"Холмогорская, 53",27.652399,53.889529,6095,Партизанская,2169
104,"Ванеева, 14",27.613583,53.882895,4013,Тракторный завод,805
105,"Притыцкого, 8",27.50186,53.911116,4049,Пушкинская,355
106,"пр-т газ-ты Известия, 15",27.484621,53.866402,6441,Институт Культуры,4254
107,"пер. Броневой, 12",27.582034,53.906029,1384,Площадь Победы,571
108,"Калиновского, 101",27.641233,53.943419,6919,Восток,1173
109,"Славинского, 7/2",27.635205,53.941002,6446,Восток,1259
110,"Калиновского, 97",27.640245,53.944532,6954,Восток,1312
111,"Шабаны, 3",27.692096,53.835096,11338,Могилёвская,3196
112,"Короля, 17",27.539939,53.90317,1439,Фрунзенская,252
113,"Брилевская, 17",27.530911,53.875384,3611,Институт Культуры,1337
114,"Каховская, 30",27.551258,53.927931,2934,Немига,2473
115,"Волгоградская, 49",27.611526,53.936455,4999,Парк Челюскинцев,1356
116,"Грекова, 3",27.627471,53.867177,5803,Партизанская,919
117,"Челюскинцев, 5",27.653944,53.86869,7092,Автозаводская,383
118,"Уманская, 59",27.500377,53.875597,5001,Институт Культуры,2865
119,"Одоевского, 69",27.499443,53.90274,4087,Пушкинская,757
120,"К.Либкнехта, 94",27.519116,53.894787,2920,Молодёжная,1337
121,"Лынькова, 109-2",27.4697,53.928238,6687,Спортивная,2329
122,"пр-т Независимости, 85 - Б",27.604546,53.925147,3777,Академия наук,495
123,"Селицкого, 93",27.703603,53.842757,11401,Могилёвская,2872
124,"Жилуновича, 23",27.629923,53.873611,5478,Партизанская,195
125,"Плеханова, 32-2",27.612083,53.865175,5274,Партизанская,1613
126,"пр-т Рокоссовского, 132",27.606801,53.855224,6000,Партизанская,2691
127,"пр-т Рокоссовского, 49",27.60239,53.867766,4664,Партизанская,1974
128,"Горовца, 34/2",27.611921,53.867448,5072,Партизанская,1455
129,"Семенова, 24",27.57677,53.870633,3649,Пролетарская,2291
130,"пр-т Газ-ты Звезда, 23",27.471955,53.867028,7073,Кунцевщина,4485
131,"Космонавтов, 13/1",27.466735,53.852467,8335,Кунцевщина,6006
132,"пр-т Газеты Звезда, 56",27.458004,53.858808,8344,Кунцевщина,5251
133,"Казинца, 76",27.501869,53.850035,7011,Институт Культуры,4731
134,"Кнорина, 19",27.61343,53.935866,5032,Московская,1261
135,"Логойский тр-т, 19/1",27.611957,53.946371,5895,Московская,2271
136,"Бельского, 43",27.48277,53.898056,5200,Спортивная,1148
137,"Одоевского, 71",27.499524,53.901859,4082,Пушкинская,854
138,"Нововиленская, 24/В",27.540119,53.933375,3738,Фрунзенская,3108
139,"Осипенко, 14",27.551447,53.925884,2711,Немига,2246
140,"Гая, 3",27.557348,53.923763,2406,Площадь Якуба Коласа,1935
