;MINSK;BARANOV;BREST;GOMEL;MOGILEV;VIT;ALL;PRIG;MEST;OUT;IN;TRANS;ALL;MINSK;BARANOV;BREST;GOMEL;MOGILEV;VIT;ALL;season1;season2;season3;trend
1;1462;637.3;504.8;620.3;426.7;344.8;3995.9;2928.3;653;171.3;152.6;90.7;3995.9;19050.8;7128;4526.6;6235.6;6341.6;3573.5;46856.1;1;0;0;0
2;1686.4;660.7;479.9;666;491.6;381.8;4366.4;3089;650.2;232.6;218.2;176.4;4366.4;22656.6;7706.4;4841.9;7705.1;7556.5;4144.9;54611.4;0;1;0;0
3;1958.7;811.6;588.9;772.8;564;443.4;5139.4;3717.1;712.6;249.6;232.7;227.4;5139.4;25353.5;9064.5;5518.2;8612.7;8794.9;4716.9;62060.7;0;0;1;0
4;1570.7;676.9;527.9;609.2;467.9;367.3;4219.9;3122;638.2;164;165.5;130.2;4219.9;20696.9;7500.1;4944.2;6637.2;7180.9;3731.2;50690.5;0;0;0;0
5;1387.5;614.2;493.6;530.5;420.5;335.9;3782.2;2813.8;567.3;149.2;137.8;114.1;3782.2;18732.2;6827.7;4631.1;5788.4;6383.4;3403.6;45766.4;1;0;0;0
6;1410.7;544.9;434.8;540.9;425.7;357.7;3714.7;2493.5;574.4;215.5;210.2;221.1;3714.7;20708;6648.6;4444;7206;6430.1;4156.8;49593.5;0;1;0;0
7;1673.5;655.4;555.8;619.6;507.4;430.2;4441.9;2964;682.9;241.4;243.3;310.3;4441.9;24498.3;8068.1;5262.8;8276.2;7874.2;6228.6;60208.2;0;0;1;0
8;1253.5;496.1;439.3;446.2;362.4;327.6;3325.1;2188.7;592.4;161.8;174.2;208;3325.1;18064.1;5897.8;4136.1;5740.2;5297.8;3618;42754;0;0;0;0
9;1230.5;505.7;447.2;458.8;357.9;337;3337.1;2387.9;509.7;141.6;136.6;161.3;3337.1;18712.7;6124.3;4343.2;5973;5403.4;3814.2;44370.8;1;0;0;0
10;1489.8;541.4;491.9;511.5;419.3;351.7;3805.6;2601;492.1;209;210.9;292.6;3805.6;21789.9;6657;4571;7214.7;6582.4;4092;50907;0;1;0;0
11;1619.5;601.8;499.5;558;456.8;396.7;4132.3;2753.6;543.4;242.4;249.3;343.6;4132.3;23067.7;7314;4874.8;7538.7;7066.8;4507;54369;0;0;1;0
12;1203.1;461.6;382;415.3;323;289.2;3074.2;2082.9;468.4;154.2;168.5;200.2;3074.2;17714;5528.1;4054.2;5494.8;4797;3196.3;40784.4;0;0;0;0
13;1097.3;428;326.3;352;284.5;269;2757.1;1920;418.6;139.2;131.7;147.6;2757.1;16734.9;5195;3938.4;4967.5;4313.7;3027.5;38177;1;0;0;0
14;1397.8;507.7;373.4;435.5;442.1;316.8;3473.3;2379.7;423;199.2;209.2;262.2;3473.3;20112;6277.7;4513.9;6559;6308.6;3590.8;47362;0;1;0;0
15;1596.5;602.1;402.5;508.8;513.1;375;3998;2763.5;460.9;240.5;246.3;286.8;3998;21955.5;7308.1;5018.4;7159.5;7245.8;4214.2;52901.5;0;0;1;0
16;1233.1;482.5;342.6;384.9;359.2;277.4;3079.7;2139.8;424.8;162.5;180.7;171.9;3079.7;17657.7;5640.9;4000.2;5274.4;5031.6;3065.3;40670.1;0;0;0;0
17;1125.4;431.6;335.8;340.2;316;255.4;2804.4;1953.9;407.9;152.7;148.8;141.1;2804.4;16052.1;5054;3955;4747.7;4286.3;2808.3;36903.4;1;0;0;0
18;1496;535.4;399.2;444.5;443.8;338.1;3657;2507;440;227.6;222.7;259.7;3657;20416.2;6489.3;4745.8;6590.5;6326.4;3721.1;48289.3;0;1;0;1
19;1697.9;620.2;443.6;492.9;497.1;379.8;4131.5;2830;476.2;254.5;257.5;313.3;4131.5;22126.5;7490.4;5194.7;7137.3;7306.8;4149.5;53405.2;0;0;1;1
20;1377.5;496.8;375;380;360;311.1;3300.4;2308.7;448;172.7;184.8;186.2;3300.4;18221.5;5775.3;4320.5;5417.9;5098.2;3199.7;42033.1;0;0;0;1
21;1184.7;411.2;329.1;352.3;343.5;259.7;2880.5;2026;420.4;154.7;145.8;133.6;2880.5;15885.9;4801.9;3939.3;4786.5;4275.8;2805.4;36494.8;1;0;0;1
22;1471;514.8;370.7;452.9;455.4;320.3;3585.1;2356.3;466.5;239.5;244.5;278.3;3585.8;20396.1;6128.6;4570.5;6402;6279.3;3553.7;47330.2;0;1;0;1
23;1611.3;561.9;367.7;499;500.3;353.3;3893.5;2508.3;515.6;279.5;272.9;317.2;3893.5;21936.4;6708;4468.9;6873.8;6682.9;3967.1;50637.1;0;0;1;1
24;1324.1;496.8;325;391.7;380.4;290.5;3208.5;2126;477.4;191;207.3;206.8;3208.5;18999.3;5785.6;4038.3;5305;4965.1;3214.3;42307.6;0;0;0;1
25;1087.7;392.3;297.4;346.8;292.7;249.6;2666.6;1694.3;435.3;161;153.9;149.8;2594.3;15416.6;4559.8;3564.3;4521;3866.5;2677.1;34605.4;1;0;0;1
26;1389.6;507.3;333.9;443.8;434.1;287.4;3396;2021.4;489.1;260.7;261.2;299.4;3331.8;19495.5;6080.5;4191.5;6175.7;5957.4;3285.8;45186.4;0;1;0;1
27;1522.8;600.4;383.6;491.9;496.7;321.8;3817.1;2318;537.7;281.2;285.4;340.5;3762.8;20620;7042.6;4864.3;6850.2;6793.4;3683;49853.5;0;0;1;1
28;1310.6;512.1;336.8;385.7;391.6;265.8;3202.6;1993.8;495;204.9;219.7;233.8;3147.2;17883.9;6047.8;4186.6;5266.1;5120.5;2970.4;41475.4;0;0;0;1
