;Район;Cena;LnCena;CenaM;Nkomnat;PlOb;LnPlOb;PlZ;LnPlZ;PlK;LnPlK;ketaz;Type;Tel
1;Московский;40000;10.5966347331;1333;1;30;3.4011973817;12;2.4849066498;7;1.9459101491;0;0;1
2;Фрунзенский;37700;10.5374153734;1257;1;30;3.4011973817;12;2.4849066498;7;1.9459101491;0;0;1
3;Фрунзенский;37000;10.5186731916;1762;1;21;3.0445224377;12;2.4849066498;5;1.6094379124;1;1;1
4;Фрунзенский;41000;10.6213273457;1464;1;28;3.3322045102;13;2.5649493575;8;2.0794415417;0;0;1
5;Партизанский;59500;10.9937315915;1750;1;34;3.5263605246;14;2.6390573296;6;1.7917594692;0;1;1
6;Московский;50000;10.8197782844;1316;1;38;3.6375861597;16;2.7725887222;6;1.7917594692;0;1;1
7;Фрунзенский;57000;10.9508065468;1462;1;39;3.6635616461;16;2.7725887222;8.4;2.1282317058;0;0;1
8;Центральный;55000;10.9150884642;2099;1;26.2;3.2657594108;16.2;2.7850112422;5.8;1.7578579176;1;1;1
9;Московский;40000;10.5966347331;1274;1;31.4;3.4468078929;16.3;2.7911651078;8;2.0794415417;0;1;1
10;Заводской;42000;10.6454248973;1243;1;33.8;3.5204608025;16.8;2.8213788864;7.2;1.974081026;0;0;1
11;Заводской;42000;10.6454248973;1243;1;33.8;3.5204608025;16.8;2.8213788864;7.2;1.974081026;0;0;1
12;Советский;42000;10.6454248973;1250;1;33.6;3.514526067;16.9;2.8273136219;6.7;1.9021075264;1;0;1
13;Заводской;40000;10.5966347331;1212;1;33;3.4965075615;17;2.8332133441;7.2;1.974081026;0;0;1
14;Заводской;52000;10.8589989976;1585;1;32.8;3.4904285154;17;2.8332133441;7.1;1.960094784;0;0;1
15;Заводской;43000;10.6689553947;1303;1;33;3.4965075615;17;2.8332133441;7;1.9459101491;0;0;1
16;Заводской;48000;10.7789562899;1455;1;33;3.4965075615;17;2.8332133441;7.1;1.960094784;0;0;1
17;Ленинский;40000;10.5966347331;1176;1;34;3.5263605246;17;2.8332133441;17.2;2.8449093838;0;0;1
18;Ленинский;52000;10.8589989976;1529;1;34;3.5263605246;17;2.8332133441;7;1.9459101491;0;0;1
19;Ленинский;43000;10.6689553947;1303;1;33;3.4965075615;17;2.8332133441;7;1.9459101491;0;0;1
20;Ленинский;52000;10.8589989976;1529;1;34;3.5263605246;17;2.8332133441;7;1.9459101491;0;0;1
21;Московский;48000;10.7789562899;1297;1;37;3.6109179126;17;2.8332133441;7;1.9459101491;0;0;1
22;Московский;46500;10.7472075916;1409;1;33;3.4965075615;17;2.8332133441;7.2;1.974081026;0;0;1
23;Октябрьский;43900;10.6896695991;1318;1;33.3;3.505557397;17;2.8332133441;7.6;2.0281482473;1;0;1
24;Партизанский;40000;10.5966347331;1290;1;31;3.4339872045;17;2.8332133441;7;1.9459101491;1;1;1
25;Первомайский;56000;10.9331069697;1514;1;37;3.6109179126;17;2.8332133441;6;1.7917594692;0;1;1
26;Первомайский;49000;10.7995755771;1633;1;30;3.4011973817;17;2.8332133441;6;1.7917594692;1;0;1
27;Первомайский;49000;10.7995755771;1531;1;32;3.4657359028;17;2.8332133441;7;1.9459101491;0;0;1
28;Первомайский;65000;11.0821425489;1970;1;33;3.4965075615;17;2.8332133441;7;1.9459101491;0;0;1
29;Первомайский;53000;10.8780471925;1606;1;33;3.4965075615;17;2.8332133441;7.2;1.974081026;0;0;0
30;Советский;57000;10.9508065468;1839;1;31;3.4339872045;17;2.8332133441;7;1.9459101491;0;1;1
31;Советский;45000;10.7144177688;1406;1;32;3.4657359028;17;2.8332133441;6;1.7917594692;1;1;1
32;Фрунзенский;36000;10.4912742174;1200;1;30;3.4011973817;17;2.8332133441;5;1.6094379124;1;1;1
33;Фрунзенский;42000;10.6454248973;1200;1;35;3.5553480615;17;2.8332133441;8;2.0794415417;1;0;1
34;Фрунзенский;48000;10.7789562899;1455;1;33;3.4965075615;17;2.8332133441;7.2;1.974081026;1;0;1
35;Фрунзенский;55000;10.9150884642;1410;1;39;3.6635616461;17;2.8332133441;9;2.1972245773;0;0;1
36;Фрунзенский;36000;10.4912742174;1200;1;30;3.4011973817;17;2.8332133441;5;1.6094379124;1;1;1
37;Фрунзенский;42000;10.6454248973;1200;1;35;3.5553480615;17;2.8332133441;8;2.0794415417;1;0;1
38;Фрунзенский;64000;11.0666383623;1561;1;41;3.7135720667;17;2.8332133441;9.5;2.2512917986;0;0;1
39;Центральный;47000;10.7579028807;1382;1;34;3.5263605246;17;2.8332133441;7.2;1.974081026;0;0;1
40;Центральный;50000;10.8197782844;1562;1;32;3.4657359028;17;2.8332133441;7;1.9459101491;0;1;1
41;Центральный;53000;10.8780471925;1828;1;29;3.36729583;17;2.8332133441;6;1.7917594692;0;1;1
42;Центральный;70000;11.156250521;2121;1;33;3.4965075615;17;2.8332133441;7.2;1.974081026;0;0;0
44;Первомайский;40000;10.5966347331;1201;1;33.3;3.505557397;17.1;2.8390784635;6.1;1.8082887712;1;0;0
45;Фрунзенский;63000;11.0508900054;1575;1;40;3.6888794541;17.1;2.8390784635;9.5;2.2512917986;0;0;1
47;Партизанский;45000;10.7144177688;1376;1;32.7;3.4873750779;17.2;2.8449093838;6.2;1.8245492921;1;0;1
48;Московский;41000;10.6213273457;1362;1;30.1;3.4045251718;17.6;2.867898902;6;1.7917594692;1;0;1
49;Октябрьский;45000;10.7144177688;1216;1;37;3.6109179126;17.6;2.867898902;8.1;2.0918640617;0;0;0
50;Октябрьский;45000;10.7144177688;1216;1;37;3.6109179126;17.6;2.867898902;8.1;2.0918640617;0;0;0
51;Московский;55000;10.9150884642;1421;1;38.7;3.6558396;17.9;2.8848007128;8.6;2.1517622033;0;0;1
52;Фрунзенский;55000;10.9150884642;1279;1;43;3.7612001157;17.9;2.8848007128;9.1;2.2082744135;0;0;1
53;Заводской;60000;11.0020998412;1333;1;45;3.8066624898;18;2.8903717579;10.4;2.3418058061;0;1;1
54;Заводской;41000;10.6213273457;1206;1;34;3.5263605246;18;2.8903717579;7;1.9459101491;0;1;1
55;Заводской;39000;10.5713169251;1219;1;32;3.4657359028;18;2.8903717579;6.2;1.8245492921;1;0;1
56;Заводской;58000;10.9681982895;1289;1;45;3.8066624898;18;2.8903717579;9;2.1972245773;0;0;0
57;Ленинский;59000;10.9852927229;1372;1;43;3.7612001157;18;2.8903717579;10;2.302585093;0;0;1
58;Ленинский;49000;10.7995755771;1289;1;38;3.6375861597;18;2.8903717579;8;2.0794415417;1;0;1
59;Ленинский;52000;10.8589989976;1405;1;37;3.6109179126;18;2.8903717579;7;1.9459101491;0;0;1
60;Ленинский;57000;10.9508065468;1500;1;38;3.6375861597;18;2.8903717579;7;1.9459101491;1;0;0
61;Московский;34000;10.4341158036;1133;1;30;3.4011973817;18;2.8903717579;6;1.7917594692;1;0;1
62;Октябрьский;42500;10.6572593549;1328;1;32;3.4657359028;18;2.8903717579;6.4;1.8562979904;0;1;1
63;Первомайский;65000;11.0821425489;1776;1;36.6;3.6000482404;18;2.8903717579;9;2.1972245773;0;0;1
64;Первомайский;63000;11.0508900054;1416;1;44.5;3.7954891892;18;2.8903717579;9.2;2.2192034841;0;0;1
65;Фрунзенский;47500;10.76848499;1357;1;35;3.5553480615;18;2.8903717579;7.5;2.0149030205;0;0;0
66;Фрунзенский;43000;10.6689553947;1254;1;34.3;3.5351453542;18;2.8903717579;6;1.7917594692;0;1;1
67;Фрунзенский;52000;10.8589989976;1486;1;35;3.5553480615;18;2.8903717579;7.5;2.0149030205;0;0;1
68;Фрунзенский;56500;10.9419959171;1256;1;45;3.8066624898;18;2.8903717579;9.5;2.2512917986;0;0;1
69;Центральный;55000;10.9150884642;1618;1;34;3.5263605246;18;2.8903717579;7;1.9459101491;1;0;1
70;Центральный;43000;10.6689553947;1433;1;30;3.4011973817;18;2.8903717579;6;1.7917594692;1;1;1
71;Центральный;55000;10.9150884642;1618;1;34;3.5263605246;18;2.8903717579;7;1.9459101491;1;0;1
74;Первомайский;60000;11.0020998412;1415;1;42.4;3.7471483622;18.2;2.9014215941;9.5;2.2512917986;0;1;0
75;Первомайский;49000;10.7995755771;1541;1;31.8;3.4594662898;18.9;2.9391619221;5.7;1.7404661748;0;0;1
77;Заводской;47000;10.7579028807;1424;1;33;3.4965075615;19;2.9444389792;6;1.7917594692;0;1;1
78;Ленинский;48000;10.7789562899;1333;1;36;3.5835189385;19;2.9444389792;6.5;1.8718021769;1;1;1
79;Ленинский;84000;11.3385720778;1292;2;65;4.1743872699;19;2.9444389792;41;3.7135720667;0;0;0
80;Московский;65000;11.0821425489;2031;1;32;3.4657359028;19;2.9444389792;6.2;1.8245492921;0;1;1
81;Советский;46000;10.7363966755;1394;1;33;3.4965075615;19;2.9444389792;6;1.7917594692;1;1;1
82;Советский;49000;10.7995755771;1531;1;32;3.4657359028;19;2.9444389792;5.8;1.7578579176;0;0;1
83;Центральный;46500;10.7472075916;1500;1;31;3.4339872045;19;2.9444389792;6;1.7917594692;0;0;1
85;Советский;55000;10.9150884642;1852;1;29.7;3.3911470458;19.1;2.9496883351;6;1.7917594692;1;1;1
86;Октябрьский;68000;11.1272629842;1557;1;43.67;3.7766613675;19.3;2.9601050959;10.3;2.3321438952;1;1;1
87;Партизанский;78000;11.2644641057;2091;1;37.3;3.6189933266;19.5;2.9704144656;8.5;2.1400661635;0;1;1
88;Фрунзенский;69000;11.1418617836;1345;1;51.3;3.9376907522;20.2;3.0056826044;11.2;2.4159137783;0;0;0
90;Московский;46000;10.7363966755;1211;2;38;3.6375861597;22.1;3.0955776085;7.4;2.0014800002;0;1;1
91;Московский;61500;11.0267924538;1281;1;48;3.8712010109;23;3.1354942159;9;2.1972245773;0;0;1
92;Октябрьский;54500;10.9059559807;1362;2;40;3.6888794541;23;3.1354942159;7;1.9459101491;1;0;1
93;Первомайский;47000;10.7579028807;1306;2;36;3.5835189385;23;3.1354942159;6;1.7917594692;1;1;1
94;Советский;53000;10.8780471925;1262;2;42;3.7376696183;23;3.1354942159;6;1.7917594692;0;1;0
95;Фрунзенский;75100;11.2265758378;1336;1;56.2;4.0289167569;23.5;3.1570004212;10.3;2.3321438952;0;1;0
96;Советский;110000;11.6082356448;1630;2;67.5;4.2121275979;23.6;3.161246712;25.5;3.2386784522;1;1;1
97;Заводской;54000;10.8967393255;1360;2;39.7;3.6813511877;23.7;3.1654750481;7.2;1.974081026;1;0;1
98;Советский;54900;10.9132686275;1366;2;40.2;3.6938669956;23.7;3.1654750481;6.2;1.8245492921;1;1;1
99;Заводской;55000;10.9150884642;1447;2;38;3.6375861597;24;3.1780538303;6.2;1.8245492921;0;0;1
100;Ленинский;53000;10.8780471925;1359;2;39;3.6635616461;24;3.1780538303;6.2;1.8245492921;1;0;1
