Id;Address;Longitude;Latitude;CenterDistance;Station;StationDistance;District;Cena;LnCena;CenaM;Nkomnat;Elit;PlOb;LnPlOb;PlZ;LnPlZ;PlK;LnPlK;ketaz;Type;God;Tel;Bal
1;Космонавтов, 23/43;27,460169;53,850895;8774;Кунцевщина;6137;Московский;40000;10,5966347331;1333;1;2;30;3,4011973817;12;2,4849066498;7;1,9459101491;0;0;1986;1;0
2;Лещинского, 17;27,451168;53,909981;7298;Кунцевщина;485;Фрунзенский;37700;10,5374153734;1257;1;0;30;3,4011973817;12;2,4849066498;7;1,9459101491;0;0;1980;1;0
3;Чигладзе, 6/2;27,500862;53,925916;4780;Пушкинская;1847;Фрунзенский;37000;10,5186731916;1762;1;1;21;3,0445224377;12;2,4849066498;5;1,6094379124;1;1;1971;1;1
4;Дунина-Марцинкевича, 4/2;27,487603;53,905955;4879;Спортивная;519;Фрунзенский;41000;10,6213273457;1464;1;0;28;3,3322045102;13;2,5649493575;8;2,0794415417;0;0;1978;1;1
5;пер. Броневой, 13;27,580812;53,90578;1300;Площадь Победы;531;Партизанский;59500;10,9937315915;1750;1;2;34;3,5263605246;14;2,6390573296;6;1,7917594692;0;1;1956;1;0
6;Рафиева, 70;27,440882;53,86295;9050;Каменная Горка;4856;Московский;50000;10,8197782844;1316;1;2;38;3,6375861597;16;2,7725887222;6;1,7917594692;0;1;1997;1;1
7;Тимошенко, 10;27,462181;53,90492;6533;Кунцевщина;534;Фрунзенский;57000;10,9508065468;1462;1;0;39;3,6635616461;16;2,7725887222;8,4;2,1282317058;0;0;2001;1;1
8;Чичерина, 12;27,564553;53,9132;1227;Площадь Победы;826;Центральный;55000;10,9150884642;2099;1;2;26,2;3,2657594108;16,2;2,7850112422;5,8;1,7578579176;1;1;2008;1;0
9;Р.Люксембург;27,514903;53,890627;3337;Институт Культуры;1743;Московский;40000;10,5966347331;1274;1;2;31,4;3,4468078929;16,3;2,7911651078;8;2,0794415417;0;1;1968;1;0
10;Грибной пер.,28/1;27,672989;53,883744;7562;Автозаводская;2318;Заводской;42000;10,6454248973;1243;1;2;33,8;3,5204608025;16,8;2,8213788864;7,2;1,974081026;0;0;1990;1;1
11;пер. Грибной, 28/1;27,672989;53,883744;7562;Автозаводская;2318;Заводской;42000;10,6454248973;1243;1;2;33,8;3,5204608025;16,8;2,8213788864;7,2;1,974081026;0;0;1990;1;1
12;Кольцова, 18/1;27,606477;53,953387;6386;Московская;3129;Советский;42000;10,6454248973;1250;1;2;33,6;3,514526067;16,9;2,8273136219;6,7;1,9021075264;1;0;1968;1;1
13;Герасименко, 41;27,680211;53,881467;8087;Могилёвская;2223;Заводской;40000;10,5966347331;1212;1;2;33;3,4965075615;17;2,8332133441;7,2;1,974081026;0;0;1974;1;1
14;Плеханова, 121;27,595536;53,858952;5295;Партизанская;2883;Заводской;52000;10,8589989976;1585;1;2;32,8;3,4904285154;17;2,8332133441;7,1;1,960094784;0;0;1975;1;1
15;Байкальская, 5;27,67324;53,874153;7935;Могилёвская;1374;Заводской;43000;10,6689553947;1303;1;2;33;3,4965075615;17;2,8332133441;7;1,9459101491;0;0;1989;1;1
16;Алтайская, 102/3;27,67245;53,872008;7985;Могилёвская;1139;Заводской;48000;10,7789562899;1455;1;2;33;3,4965075615;17;2,8332133441;7,1;1,960094784;0;0;1982;1;0
17;Якубова, 30;27,597898;53,854268;5834;Партизанская;3133;Ленинский;40000;10,5966347331;1176;1;2;34;3,5263605246;17;2,8332133441;17,2;2,8449093838;0;0;1980;1;0
18;пр-т Рокоссовского, 83;27,609181;53,861325;5506;Партизанская;2055;Ленинский;52000;10,8589989976;1529;1;2;34;3,5263605246;17;2,8332133441;7;1,9459101491;0;0;1973;1;1
19;пр-т Рокоссовского, 49;27,60239;53,867766;4664;Партизанская;1974;Ленинский;43000;10,6689553947;1303;1;2;33;3,4965075615;17;2,8332133441;7;1,9459101491;0;0;1976;1;1
20;пр-т Рокоссовского, 83;27,609181;53,861325;5506;Партизанская;2055;Ленинский;52000;10,8589989976;1529;1;2;34;3,5263605246;17;2,8332133441;7;1,9459101491;0;0;1973;1;1
21;Слободская, 55;27,438582;53,855622;9597;Каменная Горка;5666;Московский;48000;10,7789562899;1297;1;2;37;3,6109179126;17;2,8332133441;7;1,9459101491;0;0;1998;1;1
22;Слободская, 91;27,443918;53,848266;9784;Кунцевщина;6452;Московский;46500;10,7472075916;1409;1;2;33;3,4965075615;17;2,8332133441;7,2;1,974081026;0;0;1998;1;1
23;Воронянского, 52;27,556351;53,876191;2921;Институт Культуры;1516;Октябрьский;43900;10,6896695991;1318;1;2;33,3;3,505557397;17;2,8332133441;7,6;2,0281482473;1;0;1973;1;1
24;Запорожская, 28;27,627606;53,909312;4374;Парк Челюскинцев;1915;Партизанский;40000;10,5966347331;1290;1;2;31;3,4339872045;17;2,8332133441;7;1,9459101491;1;1;1971;1;1
25;Платонова, 35/2;27,593622;53,910405;2266;Площадь Якуба Коласа;891;Первомайский;56000;10,9331069697;1514;1;2;37;3,6109179126;17;2,8332133441;6;1,7917594692;0;1;1970;1;0
26;Толбухина, 5/а;27,611849;53,926043;4204;Парк Челюскинцев;213;Первомайский;49000;10,7995755771;1633;1;2;30;3,4011973817;17;2,8332133441;6;1,7917594692;1;0;1970;1;0
27;Волгоградсая, 57/а;27,60928;53,936396;4899;Парк Челюскинцев;1369;Первомайский;49000;10,7995755771;1531;1;2;32;3,4657359028;17;2,8332133441;7;1,9459101491;0;0;1970;1;0
28;пл. Независимости, 157;27,547242;53,895509;1218;Площадь Ленина;228;Первомайский;65000;11,0821425489;1970;1;2;33;3,4965075615;17;2,8332133441;7;1,9459101491;0;0;1973;1;1
29;Калиновского;27,635861;53,944378;6733;Восток;1474;Первомайский;53000;10,8780471925;1606;1;2;33;3,4965075615;17;2,8332133441;7,2;1,974081026;0;0;1900;0;0
30;М.Богдановича, 143;27,570347;53,925375;2626;Площадь Якуба Коласа;1369;Советский;57000;10,9508065468;1839;1;2;31;3,4339872045;17;2,8332133441;7;1,9459101491;0;1;1973;1;1
31;М.Богдановича, 133;27,568533;53,923371;2385;Площадь Якуба Коласа;1295;Советский;45000;10,7144177688;1406;1;2;32;3,4657359028;17;2,8332133441;6;1,7917594692;1;1;1967;1;0
32;Харьковская,86;27,501087;53,89623;4036;Пушкинская;1488;Фрунзенский;36000;10,4912742174;1200;1;0;30;3,4011973817;17;2,8332133441;5;1,6094379124;1;1;1968;1;0
33;Я.Марвра, 5;27,490334;53,903652;4686;Пушкинская;786;Фрунзенский;42000;10,6454248973;1200;1;0;35;3,5553480615;17;2,8332133441;8;2,0794415417;1;0;1974;1;1
34;М.Горецкого, 67;27,438942;53,889752;8169;Каменная Горка;1875;Фрунзенский;48000;10,7789562899;1455;1;0;33;3,4965075615;17;2,8332133441;7,2;1,974081026;1;0;1998;1;1
35;Фёдорова, 9;27,424595;53,883893;9219;Каменная Горка;2659;Фрунзенский;55000;10,9150884642;1410;1;0;39;3,6635616461;17;2,8332133441;9;2,1972245773;0;0;2000;1;1
36;Харьковская, 86;27,501087;53,89623;4036;Пушкинская;1488;Фрунзенский;36000;10,4912742174;1200;1;0;30;3,4011973817;17;2,8332133441;5;1,6094379124;1;1;1968;1;0
37;Я.Мавра, 5;27,490334;53,903652;4686;Пушкинская;786;Фрунзенский;42000;10,6454248973;1200;1;0;35;3,5553480615;17;2,8332133441;8;2,0794415417;1;0;1974;1;1
